Date,Ticker,Call Volume,Put Volume,P/C Ratio,Time
2025-07-01,GME,38429,13300,0.35,22:23:00
2025-07-01,TSLA,775527,849321,1.1,22:23:00
2025-07-01,AMC,11283,8212,0.73,22:23:00
2025-07-01,AAPL,699504,199927,0.29,22:23:00
2025-07-01,NVDA,796127,457446,0.57,22:23:00
2025-07-01,BYSI,8,5,0.62,22:23:00
2025-07-01,SLSR,0,1,,22:23:00
2025-07-01,STKS,27,22,0.81,22:23:00
2025-07-01,GAIN,37,41,1.11,22:23:00
2025-07-01,IMMP,5,6,1.2,22:23:00
2025-07-02,GME,9169,1259,0.14,10:42:00
2025-07-02,TSLA,300965,267948,0.89,10:42:00
2025-07-02,AMC,1424,269,0.19,10:42:00
2025-07-02,AAPL,320046,116359,0.36,10:42:00
2025-07-02,NVDA,288007,143184,0.5,10:42:00
2025-07-02,BYSI,8,5,0.62,10:42:00
2025-07-02,SLSR,0,1,,10:42:00
2025-07-02,STKS,27,22,0.81,10:42:00
2025-07-02,GAIN,37,41,1.11,10:42:00
2025-07-02,IMMP,5,6,1.2,10:42:00
